"iso2c","Start","End"
"AL","1994-06-01","1994-06-01"
"AM","1994-06-01","1994-06-01"
"AR","1980-06-01","1982-06-01"
"AR","1989-06-01","1991-06-01"
"AR","1995-06-01","1995-06-01"
"AR","2001-06-01","2003-06-01"
"AT","2008-06-01","2011-06-01"
"AZ","1995-06-01","1995-06-01"
"BA","1992-06-01","1996-06-01"
"BD","1987-06-01","1987-06-01"
"BE","2008-06-01","2011-06-01"
"BF","1990-06-01","1994-06-01"
"BG","1996-06-01","1997-06-01"
"BI","1994-06-01","1998-06-01"
"BJ","1988-06-01","1992-06-01"
"BO","1986-06-01","1986-06-01"
"BO","1994-06-01","1994-06-01"
"BR","1990-06-01","1994-06-01"
"BR","1994-06-01","1998-06-01"
"BY","1995-06-01","1995-06-01"
"CD","1983-06-01","1983-06-01"
"CD","1991-06-01","1994-06-01"
"CD","1994-06-01","1998-06-01"
"CF","1976-06-01","1976-06-01"
"CF","1995-06-01","1996-06-01"
"CG","1992-06-01","1994-06-01"
"CH","2008-06-01","2011-06-01"
"CI","1988-06-01","1992-06-01"
"CL","1976-06-01","1976-06-01"
"CL","1981-06-01","1985-06-01"
"CM","1987-06-01","1991-06-01"
"CM","1995-06-01","1997-06-01"
"CN","1998-06-01","1998-06-01"
"CO","1982-06-01","1982-06-01"
"CO","1998-06-01","2000-06-01"
"CR","1987-06-01","1991-06-01"
"CR","1994-06-01","1995-06-01"
"CV","1993-06-01","1993-06-01"
"CZ","1996-06-01","2000-06-01"
"DE","2008-06-01","2011-06-01"
"DJ","1991-06-01","1995-06-01"
"DK","2008-06-01","2011-06-01"
"DO","2003-06-01","2004-06-01"
"DZ","1990-06-01","1994-06-01"
"EC","1982-06-01","1986-06-01"
"EC","1998-06-01","2002-06-01"
"EE","1992-06-01","1994-06-01"
"EG","1980-06-01","1980-06-01"
"ER","1993-06-01","1993-06-01"
"ES","1977-06-01","1981-06-01"
"ES","2008-06-01","2011-06-01"
"FI","1991-06-01","1995-06-01"
"FR","2008-06-01","2011-06-01"
"GB","2007-06-01","2011-06-01"
"GE","1991-06-01","1995-06-01"
"GH","1982-06-01","1983-06-01"
"GN","1985-06-01","1985-06-01"
"GN","1993-06-01","1993-06-01"
"GQ","1983-06-01","1983-06-01"
"GR","2008-06-01","2011-06-01"
"GW","1995-06-01","1998-06-01"
"GY","1993-06-01","1993-06-01"
"HR","1998-06-01","1999-06-01"
"HT","1994-06-01","1998-06-01"
"HU","1991-06-01","1995-06-01"
"HU","2008-06-01","2011-06-01"
"ID","1997-06-01","2001-06-01"
"IE","2008-06-01","2011-06-01"
"IL","1977-06-01","1977-06-01"
"IN","1993-06-01","1993-06-01"
"IS","2008-06-01","2011-06-01"
"IT","2008-06-01","2011-06-01"
"JM","1996-06-01","1998-06-01"
"JO","1989-06-01","1991-06-01"
"JP","1997-06-01","2001-06-01"
"KE","1985-06-01","1985-06-01"
"KE","1992-06-01","1994-06-01"
"KG","1995-06-01","1999-06-01"
"KR","1997-06-01","1998-06-01"
"KW","1982-06-01","1985-06-01"
"KZ","2008-06-01","2011-06-01"
"LB","1990-06-01","1993-06-01"
"LK","1989-06-01","1991-06-01"
"LR","1991-06-01","1995-06-01"
"LT","1995-06-01","1996-06-01"
"LU","2008-06-01","2011-06-01"
"LV","1995-06-01","1996-06-01"
"LV","2008-06-01","2011-06-01"
"MA","1980-06-01","1984-06-01"
"MG","1988-06-01","1988-06-01"
"MK","1993-06-01","1995-06-01"
"ML","1987-06-01","1991-06-01"
"MN","2008-06-01","2011-06-01"
"MR","1984-06-01","1984-06-01"
"MX","1981-06-01","1985-06-01"
"MX","1994-06-01","1996-06-01"
"MY","1997-06-01","1999-06-01"
"MZ","1987-06-01","1991-06-01"
"NE","1983-06-01","1985-06-01"
"NG","1991-06-01","1995-06-01"
"NG","2009-06-01","2011-06-01"
"NI","1990-06-01","1993-06-01"
"NI","2000-06-01","2001-06-01"
"NL","2008-06-01","2011-06-01"
"NO","1991-06-01","1993-06-01"
"NP","1988-06-01","1988-06-01"
"PA","1988-06-01","1989-06-01"
"PE","1983-06-01","1983-06-01"
"PH","1983-06-01","1986-06-01"
"PH","1997-06-01","2001-06-01"
"PL","1992-06-01","1994-06-01"
"PT","2008-06-01","2011-06-01"
"PY","1995-06-01","1995-06-01"
"RO","1990-06-01","1992-06-01"
"RU","1998-06-01","1998-06-01"
"RU","2008-06-01","2011-06-01"
"SE","1991-06-01","1995-06-01"
"SE","2008-06-01","2011-06-01"
"SI","1992-06-01","1992-06-01"
"SI","2008-06-01","2011-06-01"
"SK","1998-06-01","2002-06-01"
"SL","1990-06-01","1994-06-01"
"SN","1988-06-01","1991-06-01"
"ST","1992-06-01","1992-06-01"
"SV","1989-06-01","1990-06-01"
"SZ","1995-06-01","1999-06-01"
"TD","1983-06-01","1983-06-01"
"TD","1992-06-01","1996-06-01"
"TG","1993-06-01","1994-06-01"
"TH","1983-06-01","1983-06-01"
"TH","1997-06-01","2000-06-01"
"TN","1991-06-01","1991-06-01"
"TR","1982-06-01","1984-06-01"
"TR","2000-06-01","2001-06-01"
"TZ","1987-06-01","1988-06-01"
"UA","1998-06-01","1999-06-01"
"UA","2008-06-01","2011-06-01"
"UG","1994-06-01","1994-06-01"
"US","1988-06-01","1988-06-01"
"US","2007-06-01","2011-06-01"
"UY","1981-06-01","1985-06-01"
"UY","2002-06-01","2005-06-01"
"VE","1994-06-01","1998-06-01"
"VN","1997-06-01","1997-06-01"
"YE","1996-06-01","1996-06-01"
"ZM","1995-06-01","1998-06-01"
"ZW","1995-06-01","1999-06-01"
